time,open,high,low,close,Volume
1784804040,8359.3,8360.6,8358.1,8359.1,80
1784804100,8359.6,8359.6,8357.6,8358.4,64
1784804160,8357.9,8358.6,8356.1,8356.4,54
1784804220,8356.1,8357.1,8355.4,8355.6,54
1784804280,8355.4,8356.6,8355.1,8356.1,36
1784804340,8355.9,8357.1,8355.6,8355.6,50
1784804400,8355.1,8357.1,8353.1,8353.9,94
1784804460,8354.1,8354.1,8346.7,8346.7,76
1784804520,8347.2,8347.5,8343.8,8345.3,90
1784804580,8345.8,8347,8345.5,8346.8,60
1784804640,8346.5,8346.5,8343.1,8344.1,70
1784804700,8343.8,8344.1,8337.7,8338.2,88
1784804760,8338.7,8340.4,8337.7,8340.4,66
1784804820,8339.9,8341.1,8339.4,8340.9,60
1784804880,8340.6,8341.6,8339.4,8340.6,44
1784804940,8341.1,8343.1,8340.1,8342.3,76
1784805000,8342.6,8344.8,8342.6,8343.6,48
1784805060,8343.3,8344.1,8341.8,8342.1,84
1784805120,8341.6,8343.8,8340.9,8342.8,68
1784805180,8342.3,8343.3,8341.8,8342.5,78
1784805240,8342.8,8343.3,8341,8342.1,78
1784805300,8342.3,8345.5,8342.3,8343.8,76
1784805360,8344.3,8344.3,8340.8,8341.8,62
1784805420,8341.3,8343.3,8340.8,8341.3,72
1784805480,8340.8,8341.3,8338.3,8338.3,72
1784805540,8337.8,8338.6,8335.8,8336.8,60
1784805600,8336.3,8337.3,8333.9,8335.4,48
1784805660,8334.9,8336.1,8333.6,8334.1,76
1784805720,8333.9,8334.9,8332.9,8332.9,70
1784805780,8332.4,8337.1,8332.1,8334.4,86
1784805840,8333.9,8338.4,8333.9,8337.1,52
1784805900,8336.6,8337.6,8336.1,8337.3,48
1784805960,8337.1,8339.3,8336.8,8338.3,64
1784806020,8337.8,8337.8,8335.6,8335.9,72
1784806080,8336.4,8336.4,8333.1,8333.4,56
1784806140,8332.9,8336.1,8331.9,8335.6,82
1784806200,8335.4,8338.4,8334.9,8337.4,70
1784806260,8337.9,8339.1,8336.6,8337.4,52
1784806320,8337.1,8338.6,8335.9,8336.4,58
1784806380,8335.9,8336.4,8331.4,8331.9,62
1784806440,8331.7,8336.4,8331.2,8336.4,86
1784806500,8335.9,8335.9,8326.9,8327.9,102
1784806560,8327.7,8330.4,8325.9,8325.9,104
1784806620,8325.4,8326.9,8324,8324.5,80
1784806680,8324,8325.5,8323.2,8323.9,92
1784806740,8322.9,8326.4,8322.9,8324.4,100
1784806800,8323.9,8324.4,8322.2,8322.9,98
1784806860,8323.9,8324.4,8321.7,8323.7,124
1784806920,8324.2,8328.6,8323.9,8327.4,68
1784806980,8326.9,8328.9,8326.6,8328.1,80
1784807040,8327.6,8327.9,8324.9,8326.9,76
1784807100,8327.1,8331.1,8327.1,8330.3,88
